allow_comments,allow_pings,approver_ids,atom_id,author_id,basename,category_id,comment_count,convert_breaks,created_by,creator_id,excerpt,ext_datas,keywords,modified_by,ping_count,pinged_urls,revision_comment,status,tangent_cache,template_id,text,text_more,title,to_ping_urls,unpublished,current_revision,field.entryfunction,field.entrysimilargroup,field.entrysitecaptcha,tags,category
0,0,,,1,basename013,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,PowerCMS導入サイトが特別賞を受賞 - 第2回だれもが使えるウェブコンクール,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_001.png,,
0,0,,,1,basename014,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,PowerCMS＋αでここまで出来る。最強ウェブCMSの超カスタマイズテクニック,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_002.png,,
0,0,,,1,basename015,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,PowerCMSを活用したサイト構築事例「○○校様学校案内サイト」,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_003.png,,
0,0,,,1,basename016,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,PowerCMSを活用した構築事例紹介「○○食品様 レシピサイト」,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_004.png,,
0,0,,,1,basename017,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,PowerCMSを活用した構築事例紹介「○○大学法学部通信教育課程ウェブサイト」,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_005.png,,
0,0,,,1,basename018,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,Movable TypeとPowerCMSを活用した釣り情報誌のオンライン展開,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_006.png,,
0,0,,,1,basename019,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,「PowerCMS」を使った会員制サイトの構築,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_007.png,,
0,0,,,1,basename020,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,Movable Type + PowerCMSで作る『営業する』不動産サイト,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_008.png,,
0,0,,,1,basename021,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,小さい会社の大きな武器、PowerCMS ～グループ機能LOVE～,,,0,",マルチDBサポート,オブジェクト指向CMS,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_009.png,,
0,0,,,1,basename022,,0,richtext,1,,,,,,0,,,2,,,"<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>",,カスタマイズ性と学習コストで選ぶ Movable Type + PowerCMS,,,0,",マルチDBサポート,New Dynamic MTML,オブジェクト指向CMS,ドラッグ&ドロップ,新機能 ワークフロー&ステージング,",記事グループ1,%r/images/cap_010.png,,
